iter	Passed	Remaining
0	15	7708
1	29	7396
2	46	7668
3	59	7389
4	72	7188
5	89	7386
6	102	7184
7	114	7071
8	128	7034
9	142	6963
10	155	6896
11	166	6765
12	226	8470
13	241	8395
14	265	8584
15	279	8457
16	294	8362
17	306	8209
18	318	8057
19	332	7991
20	345	7876
21	358	7798
22	371	7710
23	384	7628
24	396	7532
25	409	7461
26	422	7406
27	435	7341
28	449	7297
29	463	7257
30	479	7252
31	494	7239
32	507	7184
33	520	7135
34	533	7087
35	547	7059
36	561	7021
37	575	6992
38	590	6980
39	605	6964
40	622	6966
41	642	7010
42	659	7014
43	677	7017
44	691	6991
45	705	6967
46	721	6951
47	735	6929
48	750	6909
49	764	6879
50	779	6866
51	795	6856
52	812	6850
53	826	6829
54	841	6809
55	855	6785
56	870	6765
57	883	6729
58	897	6708
59	911	6682
60	926	6666
61	943	6667
62	962	6676
63	978	6664
64	992	6644
65	1010	6642
66	1024	6623
67	1040	6610
68	1058	6610
69	1075	6606
70	1092	6603
71	1112	6611
72	1127	6597
73	1142	6578
74	1158	6562
75	1172	6543
76	1187	6523
77	1205	6524
78	1221	6509
79	1237	6497
80	1257	6504
81	1272	6486
82	1286	6465
83	1303	6456
84	1321	6452
85	1335	6428
86	1352	6421
87	1368	6405
88	1383	6386
89	1401	6385
90	1417	6371
91	1432	6353
92	1450	6345
93	1465	6328
94	1479	6309
95	1494	6289
96	1509	6272
97	1524	6253
98	1541	6243
99	1557	6230
100	1573	6217
101	1590	6204
102	1610	6206
103	1625	6190
104	1641	6176
105	1654	6151
106	1666	6120
107	1678	6092
108	1693	6073
109	1706	6051
110	1720	6030
111	1734	6007
112	1746	5980
113	1769	5990
114	1786	5979
115	1802	5968
116	1817	5951
117	1833	5936
118	1848	5918
119	1863	5901
120	1877	5880
121	1895	5873
122	1912	5863
123	1933	5862
124	1954	5862
125	1968	5844
126	1984	5828
127	1999	5811
128	2011	5784
129	2025	5764
130	2040	5746
131	2053	5724
132	2065	5700
133	2077	5674
134	2091	5653
135	2102	5627
136	2115	5606
137	2130	5587
138	2144	5568
139	2156	5544
140	2169	5522
141	2181	5498
142	2191	5471
143	2203	5446
144	2215	5424
145	2228	5403
146	2239	5377
147	2252	5356
148	2265	5336
149	2276	5312
150	2288	5289
151	2302	5272
152	2315	5251
153	2327	5229
154	2338	5205
155	2354	5191
156	2367	5173
157	2381	5154
158	2392	5130
159	2403	5107
160	2416	5087
161	2429	5068
162	2441	5046
163	2456	5032
164	2467	5010
165	2481	4993
166	2494	4973
167	2505	4951
168	2516	4927
169	2529	4909
170	2541	4890
171	2556	4875
172	2569	4856
173	2580	4835
174	2592	4814
175	2605	4796
176	2617	4777
177	2628	4755
178	2641	4736
179	2653	4716
180	2665	4697
181	2677	4677
182	2688	4657
183	2699	4636
184	2712	4617
185	2724	4599
186	2736	4580
187	2748	4560
188	2765	4550
189	2778	4533
190	2790	4514
191	2802	4496
192	2814	4477
193	2825	4457
194	2838	4438
195	2850	4421
196	2866	4408
197	2878	4390
198	2889	4370
199	2902	4353
200	2919	4342
201	2932	4326
202	2943	4306
203	2955	4288
204	2969	4272
205	2981	4255
206	2992	4235
207	3005	4218
208	3018	4202
209	3029	4183
210	3041	4165
211	3054	4149
212	3069	4135
213	3082	4119
214	3095	4103
215	3106	4084
216	3119	4068
217	3131	4050
218	3143	4033
219	3155	4015
220	3167	3998
221	3180	3982
222	3191	3964
223	3205	3950
224	3216	3931
225	3228	3914
226	3240	3897
227	3254	3882
228	3265	3864
229	3278	3849
230	3291	3832
231	3303	3816
232	3314	3798
233	3328	3783
234	3341	3768
235	3355	3753
236	3367	3737
237	3381	3722
238	3396	3708
239	3410	3694
240	3424	3680
241	3438	3665
242	3452	3651
243	3467	3638
244	3482	3624
245	3495	3609
246	3510	3595
247	3530	3587
248	3544	3573
249	3559	3559
250	3575	3546
251	3589	3532
252	3601	3516
253	3615	3501
254	3631	3488
255	3644	3473
256	3658	3459
257	3674	3446
258	3690	3434
259	3704	3419
260	3719	3405
261	3732	3390
262	3746	3375
263	3759	3360
264	3774	3347
265	3788	3332
266	3802	3318
267	3816	3303
268	3833	3292
269	3846	3276
270	3859	3260
271	3873	3246
272	3886	3231
273	3898	3215
274	3910	3199
275	3922	3183
276	3935	3168
277	3949	3154
278	3964	3140
279	3980	3127
280	3993	3112
281	4005	3096
282	4017	3080
283	4032	3066
284	4047	3053
285	4062	3039
286	4075	3025
287	4089	3010
288	4104	2996
289	4119	2983
290	4136	2971
291	4153	2958
292	4167	2944
293	4180	2929
294	4194	2915
295	4208	2900
296	4221	2885
297	4235	2871
298	4249	2856
299	4262	2841
300	4278	2828
301	4293	2814
302	4306	2800
303	4318	2784
304	4330	2768
305	4341	2752
306	4353	2737
307	4365	2721
308	4377	2706
309	4390	2691
310	4404	2676
311	4416	2661
312	4430	2646
313	4443	2632
314	4456	2617
315	4469	2602
316	4482	2587
317	4493	2571
318	4505	2556
319	4519	2542
320	4532	2527
321	4544	2512
322	4556	2496
323	4569	2482
324	4584	2468
325	4596	2453
326	4608	2437
327	4619	2422
328	4633	2408
329	4645	2393
330	4657	2377
331	4668	2362
332	4680	2347
333	4694	2333
334	4707	2318
335	4718	2303
336	4733	2289
337	4748	2275
338	4760	2261
339	4772	2245
340	4785	2231
341	4796	2216
342	4809	2201
343	4821	2186
344	4833	2171
345	4846	2157
346	4858	2142
347	4870	2127
348	4885	2113
349	4896	2098
350	4909	2084
351	4920	2069
352	4931	2053
353	4943	2038
354	4955	2024
355	4967	2009
356	4978	1994
357	4991	1979
358	5002	1964
359	5015	1950
360	5028	1936
361	5043	1922
362	5055	1908
363	5067	1893
364	5078	1878
365	5091	1863
366	5102	1849
367	5114	1834
368	5126	1819
369	5138	1805
370	5150	1790
371	5161	1775
372	5173	1761
373	5189	1748
374	5202	1734
375	5215	1719
376	5226	1705
377	5238	1690
378	5250	1676
379	5262	1661
380	5273	1647
381	5286	1633
382	5299	1619
383	5311	1604
384	5321	1589
385	5335	1575
386	5350	1562
387	5362	1547
388	5374	1533
389	5387	1519
390	5400	1505
391	5414	1491
392	5426	1477
393	5437	1462
394	5449	1448
395	5462	1434
396	5473	1420
397	5485	1405
398	5500	1392
399	5515	1378
400	5527	1364
401	5538	1350
402	5549	1335
403	5562	1321
404	5574	1307
405	5585	1293
406	5598	1279
407	5612	1265
408	5625	1251
